Flops of dymobilenetv2: original 306.942784 M, target 199.5128096 M, possible 220.099888 M, main 188.82848 M, dgc 118.114304 M, mask 1.742832 M
Flops of dymobilenetv2: original 306.942784 M, target 199.5128096 M, possible 220.099888 M, main 188.82848 M, dgc 118.114304 M, mask 1.742832 M
Epoch 017/150: (65.2160 86.3720) | 282.4339 M (96.2202 -4.3576) || train (60.4687 81.9989) | 281.8086 M (95.0125 -3.7752)| loss 2.6460 || lr 0.072648-0.014530-0.014530 | Time 2021-09-14 06:58:35
Epoch 018/150: (64.9800 86.3380) | 280.6404 M (94.8564 -4.7874) || train (60.5081 81.9699) | 280.3741 M (93.9572 -4.1544)| loss 2.6448 || lr 0.072367-0.014473-0.014473 | Time 2021-09-14 07:17:05
Epoch 018/150: (64.9800 86.3380) | 280.6404 M (94.8564 -4.7874) || train (60.6381 82.1159) | 280.3740 M (93.9571 -4.1544)| loss 2.6405 || lr 0.072367-0.014473-0.014473 | Time 2021-09-14 07:17:05
Epoch 019/150: (65.5340 86.7200) | 278.8405 M (93.5651 -5.2959) || train (60.6281 82.0409) | 278.9410 M (92.9095 -4.5398)| loss 2.6400 || lr 0.072070-0.014414-0.014414 | Time 2021-09-14 07:35:35
Epoch 019/150: (65.5340 86.7200) | 278.8405 M (93.5651 -5.2959) || train (60.5282 82.0387) | 278.9405 M (92.9092 -4.5400)| loss 2.6418 || lr 0.072070-0.014414-0.014414 | Time 2021-09-14 07:35:35
Epoch 020/150: (64.9700 86.4580) | 277.3295 M (92.4690 -5.7108) || train (60.7542 82.1383) | 277.5105 M (91.8961 -4.9569)| loss 2.6331 || lr 0.071758-0.014352-0.014352 | Time 2021-09-14 07:54:05
Epoch 020/150: (64.9700 86.4580) | 277.3295 M (92.4690 -5.7108) || train (60.7183 82.0723) | 277.5114 M (91.8965 -4.9564)| loss 2.6356 || lr 0.071758-0.014352-0.014352 | Time 2021-09-14 07:54:06
Epoch 021/150: (64.9940 86.3500) | 275.5093 M (91.2222 -6.2842) || train (60.7335 82.1488) | 276.0735 M (90.8847 -5.3825)| loss 2.6337 || lr 0.071431-0.014286-0.014286 | Time 2021-09-14 08:12:36
Epoch 021/150: (64.9940 86.3500) | 275.5093 M (91.2222 -6.2842) || train (60.7065 82.2090) | 276.0731 M (90.8843 -5.3825)| loss 2.6323 || lr 0.071431-0.014286-0.014286 | Time 2021-09-14 08:12:36
Epoch 022/150: (64.9300 86.4320) | 273.9018 M (90.0562 -6.7257) || train (60.7177 82.2237) | 274.6413 M (89.8861 -5.8161)| loss 2.6292 || lr 0.071089-0.014218-0.014218 | Time 2021-09-14 08:31:07
Epoch 022/150: (64.9300 86.4320) | 273.9018 M (90.0562 -6.7257) || train (60.8796 82.2721) | 274.6414 M (89.8863 -5.8162)| loss 2.6253 || lr 0.071089-0.014218-0.014218 | Time 2021-09-14 08:31:07
Epoch 023/150: (64.9880 86.3300) | 271.9444 M (88.8056 -7.4326) || train (60.8568 82.2476) | 273.2100 M (88.9130 -6.2743)| loss 2.6256 || lr 0.070733-0.014147-0.014147 | Time 2021-09-14 08:49:37
Epoch 023/150: (64.9880 86.3300) | 271.9444 M (88.8056 -7.4326) || train (60.9878 82.3052) | 273.2090 M (88.9125 -6.2748)| loss 2.6239 || lr 0.070733-0.014147-0.014147 | Time 2021-09-14 08:49:38
Epoch 024/150: (65.4040 86.7000) | 270.3373 M (87.6468 -7.8809) || train (61.0123 82.3981) | 271.7778 M (87.9426 -6.7361)| loss 2.6178 || lr 0.070362-0.014072-0.014072 | Time 2021-09-14 09:08:08
Epoch 024/150: (65.4040 86.7000) | 270.3373 M (87.6468 -7.8809) || train (60.9716 82.2990) | 271.7781 M (87.9432 -6.7364)| loss 2.6208 || lr 0.070362-0.014072-0.014072 | Time 2021-09-14 09:08:08
Epoch 025/150: (65.3120 86.4740) | 268.9531 M (86.6608 -8.2790) || train (61.0601 82.4701) | 270.3442 M (86.9754 -7.2025)| loss 2.6128 || lr 0.069976-0.013995-0.013995 | Time 2021-09-14 09:26:40
Epoch 025/150: (65.3120 86.4740) | 268.9531 M (86.6608 -8.2790) || train (61.0541 82.4267) | 270.3448 M (86.9760 -7.2025)| loss 2.6153 || lr 0.069976-0.013995-0.013995 | Time 2021-09-14 09:26:40
Epoch 026/150: (65.3160 86.6640) | 266.8976 M (85.3250 -8.9988) || train (61.1317 82.4416) | 268.9112 M (86.0094 -7.6696)| loss 2.6130 || lr 0.069576-0.013915-0.013915 | Time 2021-09-14 09:45:10
Epoch 026/150: (65.3160 86.6640) | 266.8976 M (85.3250 -8.9988) || train (61.1077 82.4455) | 268.9117 M (86.0097 -7.6693)| loss 2.6122 || lr 0.069576-0.013915-0.013915 | Time 2021-09-14 09:45:10
Epoch 027/150: (65.4160 86.6280) | 265.5905 M (84.3958 -9.3766) || train (61.2116 82.4935) | 267.4782 M (85.0557 -8.1489)| loss 2.6071 || lr 0.069162-0.013832-0.013832 | Time 2021-09-14 10:03:40
Epoch 027/150: (65.4160 86.6280) | 265.5905 M (84.3958 -9.3766) || train (61.2440 82.5448) | 267.4791 M (85.0565 -8.1487)| loss 2.6076 || lr 0.069162-0.013832-0.013832 | Time 2021-09-14 10:03:41
Epoch 028/150: (65.5120 86.6600) | 263.9985 M (83.3539 -9.9267) || train (61.2596 82.6121) | 266.0472 M (84.1277 -8.6518)| loss 2.6021 || lr 0.068735-0.013747-0.013747 | Time 2021-09-14 10:22:12
Epoch 028/150: (65.5120 86.6600) | 263.9985 M (83.3539 -9.9267) || train (61.2519 82.5019) | 266.0459 M (84.1271 -8.6525)| loss 2.6064 || lr 0.068735-0.013747-0.013747 | Time 2021-09-14 10:22:12
Epoch 029/150: (65.5420 86.7660) | 261.9121 M (82.0942 -10.7534) || train (61.3657 82.6379) | 264.6104 M (83.1911 -9.1520)| loss 2.5990 || lr 0.068293-0.013659-0.013659 | Time 2021-09-14 10:40:43
Epoch 029/150: (65.5420 86.7660) | 261.9121 M (82.0942 -10.7534) || train (61.2769 82.5625) | 264.6098 M (83.1906 -9.1521)| loss 2.6029 || lr 0.068293-0.013659-0.013659 | Time 2021-09-14 10:40:43
Epoch 030/150: (65.5100 86.7280) | 260.6609 M (81.2399 -11.1504) || train (61.3959 82.6568) | 263.1796 M (82.2739 -9.6655)| loss 2.5966 || lr 0.067838-0.013568-0.013568 | Time 2021-09-14 10:59:14
Epoch 030/150: (65.5100 86.7280) | 260.6609 M (81.2399 -11.1504) || train (61.3901 82.5920) | 263.1804 M (82.2741 -9.6650)| loss 2.5988 || lr 0.067838-0.013568-0.013568 | Time 2021-09-14 10:59:14
Epoch 031/150: (65.7900 86.9820) | 259.2738 M (80.3221 -11.6196) || train (61.5471 82.7356) | 261.7467 M (81.3886 -10.2131)| loss 2.5918 || lr 0.067370-0.013474-0.013474 | Time 2021-09-14 11:17:46
Epoch 031/150: (65.7900 86.9820) | 259.2738 M (80.3221 -11.6196) || train (61.4976 82.7239) | 261.7476 M (81.3888 -10.2125)| loss 2.5936 || lr 0.067370-0.013474-0.013474 | Time 2021-09-14 11:17:46
Epoch 032/150: (66.0060 87.1000) | 257.5503 M (79.2979 -12.3189) || train (61.5310 82.7635) | 260.3129 M (80.4972 -10.7556)| loss 2.5916 || lr 0.066889-0.013378-0.013378 | Time 2021-09-14 11:36:16
Epoch 032/150: (66.0060 87.1000) | 257.5503 M (79.2979 -12.3189) || train (61.5648 82.7851) | 260.3140 M (80.4974 -10.7548)| loss 2.5904 || lr 0.066889-0.013378-0.013378 | Time 2021-09-14 11:36:16
Epoch 033/150: (65.6560 86.7900) | 256.0961 M (78.4456 -12.9208) || train (61.5950 82.8350) | 258.8793 M (79.6473 -11.3393)| loss 2.5883 || lr 0.066394-0.013279-0.013279 | Time 2021-09-14 11:54:46
Epoch 033/150: (65.6560 86.7900) | 256.0961 M (78.4456 -12.9208) || train (61.5432 82.7905) | 258.8790 M (79.6471 -11.3394)| loss 2.5890 || lr 0.066394-0.013279-0.013279 | Time 2021-09-14 11:54:46
Epoch 034/150: (66.2040 87.0860) | 254.6778 M (77.5768 -13.4703) || train (61.6871 82.8035) | 257.4462 M (78.7801 -11.9052)| loss 2.5860 || lr 0.065887-0.013177-0.013177 | Time 2021-09-14 12:13:18
Epoch 034/150: (66.2040 87.0860) | 254.6778 M (77.5768 -13.4703) || train (61.5911 82.8252) | 257.4468 M (78.7803 -11.9048)| loss 2.5864 || lr 0.065887-0.013177-0.013177 | Time 2021-09-14 12:13:18
Epoch 035/150: (65.7080 86.9660) | 253.2065 M (76.7474 -14.1122) || train (61.6656 82.8567) | 256.0122 M (77.9353 -12.4944)| loss 2.5825 || lr 0.065368-0.013074-0.013074 | Time 2021-09-14 12:31:48
Epoch 035/150: (65.7080 86.9660) | 253.2065 M (76.7474 -14.1122) || train (61.6797 82.8527) | 256.0123 M (77.9349 -12.4939)| loss 2.5822 || lr 0.065368-0.013074-0.013074 | Time 2021-09-14 12:31:49
Epoch 036/150: (65.5060 86.8840) | 251.8281 M (75.9669 -14.7101) || train (61.7736 82.9646) | 254.5767 M (77.1197 -13.1143)| loss 2.5788 || lr 0.064836-0.012967-0.012967 | Time 2021-09-14 12:50:19
Epoch 036/150: (65.5060 86.8840) | 251.8281 M (75.9669 -14.7101) || train (61.8447 82.9167) | 254.5766 M (77.1198 -13.1145)| loss 2.5771 || lr 0.064836-0.012967-0.012967 | Time 2021-09-14 12:50:19
Epoch 037/150: (65.6560 86.9500) | 250.3233 M (75.1329 -15.3808) || train (61.8506 82.9936) | 253.1427 M (76.3183 -13.7469)| loss 2.5742 || lr 0.064293-0.012859-0.012859 | Time 2021-09-14 13:08:52
Epoch 037/150: (65.6560 86.9500) | 250.3233 M (75.1329 -15.3808) || train (61.7482 82.9145) | 253.1430 M (76.3185 -13.7467)| loss 2.5786 || lr 0.064293-0.012859-0.012859 | Time 2021-09-14 13:08:52
Epoch 038/150: (65.9680 87.0600) | 249.0274 M (74.4024 -15.9463) || train (61.9146 82.9710) | 251.7086 M (75.5043 -14.3671)| loss 2.5735 || lr 0.063737-0.012747-0.012747 | Time 2021-09-14 13:27:23
Epoch 038/150: (65.9680 87.0600) | 249.0274 M (74.4024 -15.9463) || train (61.8813 83.0029) | 251.7105 M (75.5051 -14.3660)| loss 2.5736 || lr 0.063737-0.012747-0.012747 | Time 2021-09-14 13:27:23
Epoch 039/150: (66.0120 87.1720) | 247.4208 M (73.6067 -16.7571) || train (61.9024 83.0706) | 250.2746 M (74.7366 -15.0333)| loss 2.5710 || lr 0.063171-0.012634-0.012634 | Time 2021-09-14 13:45:53
Epoch 039/150: (66.0120 87.1720) | 247.4208 M (73.6067 -16.7571) || train (61.8721 82.9876) | 250.2738 M (74.7361 -15.0336)| loss 2.5732 || lr 0.063171-0.012634-0.012634 | Time 2021-09-14 13:45:54
Epoch 040/150: (65.8140 86.9460) | 246.0275 M (72.8633 -17.4071) || train (62.0454 83.1071) | 248.8404 M (74.0009 -15.7318)| loss 2.5675 || lr 0.062592-0.012518-0.012518 | Time 2021-09-14 14:04:26
Epoch 040/150: (65.8140 86.9460) | 246.0275 M (72.8633 -17.4071) || train (62.0229 83.0669) | 248.8425 M (74.0019 -15.7307)| loss 2.5675 || lr 0.062592-0.012518-0.012518 | Time 2021-09-14 14:04:26
Epoch 041/150: (66.0120 86.9720) | 244.4886 M (72.0705 -18.1532) || train (62.1422 83.1935) | 247.4093 M (73.2337 -16.3957)| loss 2.5631 || lr 0.062003-0.012401-0.012401 | Time 2021-09-14 14:22:56
Epoch 041/150: (66.0120 86.9720) | 244.4886 M (72.0705 -18.1532) || train (62.0532 83.1231) | 247.4097 M (73.2339 -16.3955)| loss 2.5652 || lr 0.062003-0.012401-0.012401 | Time 2021-09-14 14:22:56
Epoch 042/150: (65.9580 87.1940) | 243.0050 M (71.3038 -18.8702) || train (62.0879 83.0996) | 245.9749 M (72.4974 -17.0938)| loss 2.5645 || lr 0.061403-0.012281-0.012281 | Time 2021-09-14 14:41:28
Epoch 042/150: (65.9580 87.1940) | 243.0050 M (71.3038 -18.8702) || train (62.0546 83.1182) | 245.9751 M (72.4975 -17.0937)| loss 2.5643 || lr 0.061403-0.012281-0.012281 | Time 2021-09-14 14:41:28
Epoch 043/150: (66.0940 87.0780) | 241.4820 M (70.5626 -19.6519) || train (62.2081 83.2134) | 244.5437 M (71.7443 -17.7719)| loss 2.5599 || lr 0.060793-0.012159-0.012159 | Time 2021-09-14 15:00:00
Epoch 043/150: (66.0940 87.0780) | 241.4820 M (70.5626 -19.6519) || train (62.1630 83.2103) | 244.5433 M (71.7441 -17.7721)| loss 2.5602 || lr 0.060793-0.012159-0.012159 | Time 2021-09-14 15:00:00
Epoch 044/150: (66.2880 87.2320) | 240.0602 M (69.8469 -20.3581) || train (62.0810 83.1780) | 243.1065 M (71.0362 -18.5009)| loss 2.5614 || lr 0.060172-0.012034-0.012034 | Time 2021-09-14 15:18:30
Epoch 044/150: (66.2880 87.2320) | 240.0602 M (69.8469 -20.3581) || train (62.1050 83.1487) | 243.1073 M (71.0365 -18.5006)| loss 2.5599 || lr 0.060172-0.012034-0.012034 | Time 2021-09-14 15:18:30
Epoch 045/150: (66.2200 87.1800) | 238.7874 M (69.2487 -21.0326) || train (62.3323 83.2952) | 241.6750 M (70.3353 -19.2316)| loss 2.5550 || lr 0.059542-0.011908-0.011908 | Time 2021-09-14 15:37:02
Epoch 045/150: (66.2200 87.1800) | 238.7874 M (69.2487 -21.0326) || train (62.2583 83.2278) | 241.6736 M (70.3350 -19.2327)| loss 2.5553 || lr 0.059542-0.011908-0.011908 | Time 2021-09-14 15:37:02
Epoch 046/150: (66.4580 87.2540) | 237.2629 M (68.5123 -21.8207) || train (62.2362 83.2316) | 240.2421 M (69.6482 -19.9774)| loss 2.5563 || lr 0.058902-0.011780-0.011780 | Time 2021-09-14 15:55:33
Epoch 046/150: (66.4580 87.2540) | 237.2629 M (68.5123 -21.8207) || train (62.3455 83.3374) | 240.2414 M (69.6478 -19.9777)| loss 2.5537 || lr 0.058902-0.011780-0.011780 | Time 2021-09-14 15:55:33
Epoch 047/150: (66.3460 87.2840) | 235.7896 M (67.8376 -22.6193) || train (62.3225 83.3358) | 238.8103 M (68.9692 -20.7302)| loss 2.5529 || lr 0.058252-0.011650-0.011650 | Time 2021-09-14 16:14:05
Epoch 047/150: (66.3460 87.2840) | 235.7896 M (67.8376 -22.6193) || train (62.3740 83.3399) | 238.8098 M (68.9691 -20.7306)| loss 2.5524 || lr 0.058252-0.011650-0.011650 | Time 2021-09-14 16:14:05
Epoch 048/150: (66.5120 87.3240) | 234.5261 M (67.2151 -23.2603) || train (62.3189 83.3174) | 237.3782 M (68.2839 -21.4770)| loss 2.5519 || lr 0.057594-0.011519-0.011519 | Time 2021-09-14 16:32:36
Epoch 048/150: (66.5120 87.3240) | 234.5261 M (67.2151 -23.2603) || train (62.2749 83.2395) | 237.3780 M (68.2838 -21.4771)| loss 2.5542 || lr 0.057594-0.011519-0.011519 | Time 2021-09-14 16:32:36
Epoch 049/150: (66.0660 87.3180) | 232.9200 M (66.4369 -24.0881) || train (62.4646 83.3897) | 235.9444 M (67.5747 -22.2016)| loss 2.5458 || lr 0.056926-0.011385-0.011385 | Time 2021-09-14 16:51:07
