Flops of dymobilenetv2: original 300.774272 M, target 188.88624281600002 M, possible 214.33296 M, main 182.659968 M, dgc 120.416128 M, mask 1.56896 M
Flops of dymobilenetv2: original 300.774272 M, target 188.88624281600002 M, possible 214.33296 M, main 182.659968 M, dgc 120.416128 M, mask 1.56896 M
Epoch 017/150: (65.6960 86.9840) | 275.6610 M (97.3775 -5.9455) || train (61.4937 82.9104) | 274.6192 M (95.8144 -5.4240)| loss 2.5809 || lr 0.072648-0.014530-0.014530 | Time 2021-08-12 17:27:37
Epoch 018/150: (65.2420 86.9220) | 274.2270 M (96.2815 -6.2834) || train (61.6761 82.9549) | 273.1303 M (94.7456 -5.8443)| loss 2.5736 || lr 0.072367-0.014473-0.014473 | Time 2021-08-12 17:51:02
Epoch 018/150: (65.2420 86.9220) | 274.2270 M (96.2815 -6.2834) || train (61.7059 82.9412) | 273.1302 M (94.7457 -5.8444)| loss 2.5728 || lr 0.072367-0.014473-0.014473 | Time 2021-08-12 17:51:02
Epoch 019/150: (65.9300 87.1440) | 272.7843 M (95.1809 -6.6255) || train (61.7969 83.0192) | 271.6411 M (93.6777 -6.2655)| loss 2.5687 || lr 0.072070-0.014414-0.014414 | Time 2021-08-12 18:14:25
Epoch 019/150: (65.9300 87.1440) | 272.7843 M (95.1809 -6.6255) || train (61.7351 83.0341) | 271.6412 M (93.6779 -6.2656)| loss 2.5704 || lr 0.072070-0.014414-0.014414 | Time 2021-08-12 18:14:25
Epoch 020/150: (65.8600 87.1400) | 271.1849 M (94.0208 -7.0649) || train (61.9547 83.0477) | 270.1504 M (92.6036 -6.6821)| loss 2.5653 || lr 0.071758-0.014352-0.014352 | Time 2021-08-12 18:37:52
Epoch 020/150: (65.8600 87.1400) | 271.1849 M (94.0208 -7.0649) || train (61.8066 83.0349) | 270.1501 M (92.6035 -6.6824)| loss 2.5658 || lr 0.071758-0.014352-0.014352 | Time 2021-08-12 18:37:52
Epoch 021/150: (65.7820 87.1140) | 269.6286 M (92.8897 -7.4901) || train (61.8236 83.1729) | 268.6605 M (91.5439 -7.1123)| loss 2.5603 || lr 0.071431-0.014286-0.014286 | Time 2021-08-12 19:01:26
Epoch 021/150: (65.7820 87.1140) | 269.6286 M (92.8897 -7.4901) || train (61.8453 83.0690) | 268.6605 M (91.5439 -7.1123)| loss 2.5630 || lr 0.071431-0.014286-0.014286 | Time 2021-08-12 19:01:26
Epoch 022/150: (65.8820 87.1500) | 268.0607 M (91.7483 -7.9165) || train (62.0176 83.2233) | 267.1707 M (90.4898 -7.5480)| loss 2.5558 || lr 0.071089-0.014218-0.014218 | Time 2021-08-12 19:24:54
Epoch 022/150: (65.8820 87.1500) | 268.0607 M (91.7483 -7.9165) || train (61.8551 83.1391) | 267.1706 M (90.4899 -7.5482)| loss 2.5610 || lr 0.071089-0.014218-0.014218 | Time 2021-08-12 19:24:54
Epoch 023/150: (65.8140 87.0880) | 266.6565 M (90.6536 -8.2261) || train (61.9766 83.2450) | 265.6787 M (89.3984 -7.9487)| loss 2.5557 || lr 0.070733-0.014147-0.014147 | Time 2021-08-12 19:48:13
Epoch 023/150: (65.8140 87.0880) | 266.6565 M (90.6536 -8.2261) || train (61.9127 83.1418) | 265.6785 M (89.3984 -7.9488)| loss 2.5578 || lr 0.070733-0.014147-0.014147 | Time 2021-08-12 19:48:13
Epoch 024/150: (65.8800 87.1920) | 264.8240 M (89.2606 -8.6656) || train (62.1150 83.2177) | 264.1870 M (88.2941 -8.3360)| loss 2.5517 || lr 0.070362-0.014072-0.014072 | Time 2021-08-12 20:11:36
Epoch 024/150: (65.8800 87.1920) | 264.8240 M (89.2606 -8.6656) || train (62.0910 83.2776) | 264.1872 M (88.2940 -8.3357)| loss 2.5493 || lr 0.070362-0.014072-0.014072 | Time 2021-08-12 20:11:36
Epoch 025/150: (65.7020 87.1480) | 263.1499 M (88.0053 -9.0844) || train (62.1214 83.2831) | 262.6946 M (87.2170 -8.7513)| loss 2.5472 || lr 0.069976-0.013995-0.013995 | Time 2021-08-12 20:34:59
Epoch 025/150: (65.7020 87.1480) | 263.1499 M (88.0053 -9.0844) || train (62.1717 83.3435) | 262.6948 M (87.2172 -8.7513)| loss 2.5458 || lr 0.069976-0.013995-0.013995 | Time 2021-08-12 20:34:59
Epoch 026/150: (65.5880 87.1280) | 260.9044 M (86.2490 -9.5735) || train (62.1291 83.3511) | 261.2018 M (86.1289 -9.1561)| loss 2.5460 || lr 0.069576-0.013915-0.013915 | Time 2021-08-12 20:58:26
Epoch 026/150: (65.5880 87.1280) | 260.9044 M (86.2490 -9.5735) || train (62.1292 83.2617) | 261.2014 M (86.1286 -9.1562)| loss 2.5477 || lr 0.069576-0.013915-0.013915 | Time 2021-08-12 20:58:26
Epoch 027/150: (65.6220 86.7920) | 259.2253 M (84.9777 -9.9813) || train (62.2437 83.3051) | 259.7076 M (85.0705 -9.5918)| loss 2.5446 || lr 0.069162-0.013832-0.013832 | Time 2021-08-12 21:21:52
Epoch 027/150: (65.6220 86.7920) | 259.2253 M (84.9777 -9.9813) || train (62.1698 83.3246) | 259.7078 M (85.0705 -9.5916)| loss 2.5461 || lr 0.069162-0.013832-0.013832 | Time 2021-08-12 21:21:52
Epoch 028/150: (66.3340 87.1500) | 257.4845 M (83.7337 -10.4781) || train (62.3352 83.4570) | 258.2171 M (84.0209 -10.0327)| loss 2.5388 || lr 0.068735-0.013747-0.013747 | Time 2021-08-12 21:45:20
Epoch 028/150: (66.3340 87.1500) | 257.4845 M (83.7337 -10.4781) || train (62.3092 83.4248) | 258.2170 M (84.0210 -10.0329)| loss 2.5389 || lr 0.068735-0.013747-0.013747 | Time 2021-08-12 21:45:20
Epoch 029/150: (65.5420 87.0340) | 255.8000 M (82.5959 -11.0248) || train (62.3523 83.3725) | 256.7243 M (83.0261 -10.5308)| loss 2.5395 || lr 0.068293-0.013659-0.013659 | Time 2021-08-12 22:08:48
Epoch 029/150: (65.5420 87.0340) | 255.8000 M (82.5959 -11.0248) || train (62.3186 83.4343) | 256.7236 M (83.0256 -10.5309)| loss 2.5380 || lr 0.068293-0.013659-0.013659 | Time 2021-08-12 22:08:48
Epoch 030/150: (66.1780 87.4920) | 254.1831 M (81.5651 -11.6109) || train (62.4337 83.5272) | 255.2341 M (82.0574 -11.0522)| loss 2.5330 || lr 0.067838-0.013568-0.013568 | Time 2021-08-12 22:32:12
Epoch 030/150: (66.1780 87.4920) | 254.1831 M (81.5651 -11.6109) || train (62.4372 83.4546) | 255.2347 M (82.0576 -11.0519)| loss 2.5344 || lr 0.067838-0.013568-0.013568 | Time 2021-08-12 22:32:12
Epoch 031/150: (66.0600 87.2760) | 252.5974 M (80.6091 -12.2406) || train (62.5710 83.5218) | 253.7417 M (81.1287 -11.6160)| loss 2.5299 || lr 0.067370-0.013474-0.013474 | Time 2021-08-12 22:55:33
Epoch 031/150: (66.0600 87.2760) | 252.5974 M (80.6091 -12.2406) || train (62.5153 83.5396) | 253.7423 M (81.1291 -11.6156)| loss 2.5297 || lr 0.067370-0.013474-0.013474 | Time 2021-08-12 22:55:33
Epoch 032/150: (66.3060 87.6820) | 251.2142 M (79.7848 -12.7995) || train (62.5685 83.6540) | 252.2513 M (80.2329 -12.2105)| loss 2.5261 || lr 0.066889-0.013378-0.013378 | Time 2021-08-12 23:18:57
Epoch 032/150: (66.3060 87.6820) | 251.2142 M (79.7848 -12.7995) || train (62.5180 83.4912) | 252.2512 M (80.2327 -12.2104)| loss 2.5295 || lr 0.066889-0.013378-0.013378 | Time 2021-08-12 23:18:57
Epoch 033/150: (65.7940 87.1600) | 249.6653 M (78.8268 -13.3904) || train (62.5412 83.5753) | 250.7612 M (79.3579 -12.8257)| loss 2.5254 || lr 0.066394-0.013279-0.013279 | Time 2021-08-12 23:42:22
Epoch 033/150: (65.7940 87.1600) | 249.6653 M (78.8268 -13.3904) || train (62.6191 83.5990) | 250.7606 M (79.3578 -12.8262)| loss 2.5249 || lr 0.066394-0.013279-0.013279 | Time 2021-08-12 23:42:22
Epoch 034/150: (66.1040 87.1860) | 248.1115 M (77.9979 -14.1154) || train (62.6880 83.6340) | 249.2692 M (78.4938 -13.4536)| loss 2.5240 || lr 0.065887-0.013177-0.013177 | Time 2021-08-13 00:05:46
Epoch 034/150: (66.1040 87.1860) | 248.1115 M (77.9979 -14.1154) || train (62.6812 83.6774) | 249.2697 M (78.4941 -13.4532)| loss 2.5207 || lr 0.065887-0.013177-0.013177 | Time 2021-08-13 00:05:46
Epoch 035/150: (66.1240 87.3600) | 246.5825 M (77.1771 -14.8235) || train (62.6572 83.6334) | 247.7781 M (77.6726 -14.1234)| loss 2.5212 || lr 0.065368-0.013074-0.013074 | Time 2021-08-13 00:29:09
Epoch 035/150: (66.1240 87.3600) | 246.5825 M (77.1771 -14.8235) || train (62.7607 83.6999) | 247.7783 M (77.6725 -14.1232)| loss 2.5179 || lr 0.065368-0.013074-0.013074 | Time 2021-08-13 00:29:09
Epoch 036/150: (66.4720 87.5480) | 245.1338 M (76.4235 -15.5187) || train (62.8227 83.8188) | 246.2859 M (76.8680 -14.8111)| loss 2.5149 || lr 0.064836-0.012967-0.012967 | Time 2021-08-13 00:52:32
Epoch 036/150: (66.4720 87.5480) | 245.1338 M (76.4235 -15.5187) || train (62.7082 83.7161) | 246.2857 M (76.8679 -14.8111)| loss 2.5173 || lr 0.064836-0.012967-0.012967 | Time 2021-08-13 00:52:32
Epoch 037/150: (66.2000 87.4440) | 243.5182 M (75.6030 -16.3137) || train (62.8483 83.7796) | 244.7934 M (76.1018 -15.5373)| loss 2.5144 || lr 0.064293-0.012859-0.012859 | Time 2021-08-13 01:15:58
Epoch 037/150: (66.2000 87.4440) | 243.5182 M (75.6030 -16.3137) || train (62.9135 83.8268) | 244.7937 M (76.1020 -15.5372)| loss 2.5117 || lr 0.064293-0.012859-0.012859 | Time 2021-08-13 01:15:58
Epoch 038/150: (66.4840 87.4260) | 242.1349 M (74.9048 -16.9988) || train (62.9004 83.8096) | 243.3018 M (75.3508 -16.2780)| loss 2.5115 || lr 0.063737-0.012747-0.012747 | Time 2021-08-13 01:39:28
